
		ORDINARY TRAFFIC FILE FOR SENSOR_ID:25

 RDSN  DSN   SRC   DEST  FL  PL   TSTAMP      TSTAMP      PKT_TYPE         PAYLOAD
00087  0172  000A  0002  34  17  00047730  00046.42383  ORDINARY_PKT   00 02 00 57 00 19 |  57 00 00 00 00 00 00 00 00 00 00
00088  0173  000A  0002  34  17  00047758  00046.45117  ORDINARY_PKT   00 02 00 58 00 19 |  58 00 00 00 00 00 00 00 00 00 00
00089  0174  000A  0002  34  17  00047776  00046.46875  ORDINARY_PKT   00 02 00 59 00 19 |  59 00 00 00 00 00 00 00 00 00 00
00090  0175  000A  0002  34  17  00047793  00046.48535  ORDINARY_PKT   00 02 00 5A 00 19 |  5A 00 00 00 00 00 00 00 00 00 00
00091  0176  000A  0002  34  17  00047817  00046.50879  ORDINARY_PKT   00 02 00 5B 00 19 |  5B 00 00 00 00 00 00 00 00 00 00
00092  0177  000A  0002  34  17  00047833  0046.524414  ORDINARY_PKT   00 02 00 5C 00 19 |  5C 00 00 00 00 00 00 00 00 00 00
00093  0178  000A  0002  34  17  00047850  0046.541016  ORDINARY_PKT   00 02 00 5D 00 19 |  5D 00 00 00 00 00 00 00 00 00 00
00094  0179  000A  0002  34  17  00047872  000046.5625  ORDINARY_PKT   00 02 00 5E 00 19 |  5E 00 00 00 00 00 00 00 00 00 00
00095  0180  000A  0002  34  17  00047901  00046.59082  ORDINARY_PKT   00 02 00 5F 00 19 |  5F 00 00 00 00 00 00 00 00 00 00
00096  0181  000A  0002  34  17  00047908  0046.597656  ORDINARY_PKT   00 02 00 60 00 19 |  60 00 00 00 00 00 00 00 00 00 00
00097  0182  000A  0002  34  17  00047931  0046.620117  ORDINARY_PKT   00 02 00 61 00 19 |  61 00 00 00 00 00 00 00 00 00 00
00098  0183  000A  0002  34  17  00047955  0046.643555  ORDINARY_PKT   00 02 00 62 00 19 |  62 00 00 00 00 00 00 00 00 00 00
